index,case_id,timeStamp,userID,targetApp,eventType,url,content,target.workbookName,target.sheetName,target.id,target.class,target.tagName,target.type,target.name,target.value,target.innerText,target.checked,target.href,target.option,target.title,target.innerHTML,in
0,1.0,2020-02-25 00:36:16.639000+00:00,vleno,Chrome,navigate_to,https://form.jotform.com/200477494954062,,,,,,,,,,,,,,,,
1,1.0,2020-02-25 00:36:21.105000+00:00,vleno,Excel,copyCell,,John Doe,reimbursement.xlsx,Student details,A2,,,,,John Doe,,,,,,,0
2,1.0,2020-02-25 00:36:24.282000+00:00,vleno,Chrome,paste,https://form.jotform.com/200477494954062,John Doe,,,first_3,,INPUT,text,q3_name[first],,,,,,,,0
3,1.0,2020-02-25 00:36:26.177000+00:00,vleno,Chrome,editField,https://form.jotform.com/200477494954062,,,,first_3,,INPUT,text,q3_name[first],John,,,,,,,0
4,1.0,2020-02-25 00:36:26.537000+00:00,vleno,Chrome,paste,https://form.jotform.com/200477494954062,John Doe,,,last_3,,INPUT,text,q3_name[last],,,,,,,,0
5,1.0,2020-02-25 00:36:28.657000+00:00,vleno,Chrome,editField,https://form.jotform.com/200477494954062,,,,last_3,,INPUT,text,q3_name[last],Doe,,,,,,,0
6,1.0,2020-02-25 00:36:32.682000+00:00,vleno,Excel,copyCell,,959933,reimbursement.xlsx,Student details,B2,,,,,959933,,,,,,,1
7,1.0,2020-02-25 00:36:35.521000+00:00,vleno,Chrome,paste,https://form.jotform.com/200477494954062,959933,,,input_6,,INPUT,text,q6_studentId,,,,,,,,1
8,1.0,2020-02-25 00:36:36.882000+00:00,vleno,Chrome,editField,https://form.jotform.com/200477494954062,,,,input_6,,INPUT,text,q6_studentId,959933,,,,,,,1
9,1.0,2020-02-25 00:36:47.425000+00:00,vleno,Excel,copyCell,,jdoe@gmail.com,reimbursement.xlsx,Student details,G2,,,,,jdoe@gmail.com,,,,,,,2
10,1.0,2020-02-25 00:36:52.153000+00:00,vleno,Chrome,paste,https://form.jotform.com/200477494954062,jdoe@gmail.com,,,input_4,,INPUT,email,q4_email,,,,,,,,2
11,1.0,2020-02-25 00:36:52.777000+00:00,vleno,Chrome,editField,https://form.jotform.com/200477494954062,,,,input_4,,INPUT,email,q4_email,jdoe@gmail.com,,,,,,,2
12,1.0,2020-02-25 00:36:56.970000+00:00,vleno,Excel,copyCell,,+61 039 689 9324,reimbursement.xlsx,Student details,H2,,,,,+61 039 689 9324,,,,,,,3
13,1.0,2020-02-25 00:36:59.401000+00:00,vleno,Chrome,paste,https://form.jotform.com/200477494954062,+61 039 689 9324,,,input_7_area,,INPUT,tel,q7_phoneNumber[area],,,,,,,,3
